File,Key,English,Danish,German,Spanish,Italian,Portuguese
Main,error,Error,Fejl,Fehler,Error,Errore,Erro
Main,error_message,"The game has crashed with the following message: ""{0}"".
If this happened at startup, make sure you have updated drivers for your graphics card and sound card.","Spillet er brudt sammen med følgende besked: ""{0}"".
Hvis det skete under opstarten, bør du sikre dig, at dine grafikdrivere og lyddrivere er opdaterede.","Das Spiel ist mit folgender Meldung abgestürzt: ""{0}"".
Sollte dies beim Starten des Spiels aufgetreten sein, stellen Sie sicher, dass die Grafik- und Soundkartentreiber aktuell sind.","El juego se ha cerrado con el siguiente mensaje de error: ""{0}"".
Si esto ha sucedido iniciando el juego, asegúrate que tienes actualizados los drivers de tus tarjetas gráfica y de sonido.","Il gioco si è bloccato con il seguente messaggio: ""{0}"".
Se è accaduto in fase di avvio, assicurati di aver installato driver aggiornati per la tua scheda grafica e sonora.","O jogo fechou com a seguinte mensagem: ""{0}"".
Se isso aconteceu ao iniciar o jogo, certifique-se de ter atualizado os drivers para sua placa de vídeo e de som."
camera/MapCamera,map_mode,Map Mode,Oversigtskort,Kartenmodus,Modo Mapa,Modo Mappa,Modo Mapa
delegate/CampaignMapForm,viking_header,Chief Fjorleif,Chief Fjorleif,Häuptling Fjorleif,Jefe Fjorleif,Capo Fjorleif,Chefe Fjorleif
delegate/CampaignMapForm,native_header,Chief Ngumba,Chief Ngumba,Häuptling Ngumba,Jefe Ngumba,Capo Ngumba,Chefe Ngumba
delegate/CampaignMapForm,viking_campaign_completed,"Congratulations, we did it! Now, let''s sail home before the natives find out what hit them...","Tillykke, vi gjorde det! Kom, lad os sejle hjem før de indfødte finder ud af, hvad der skete.","Hey, wir haben''s geschafft! Jetzt sollten wir aber schnell nach Hause segeln, bevor diese Eingeborenen herausfinden, was Sache ist ...","¡Siiií, lo conseguimos!, ahora partamos hacia casa antes de que los nativos averigüen qué les golpeó...","Evviva, ce l''abbiamo fatta! Adesso torniamo a casa prima che i nativi capiscano cosa li ha colpiti...","Siiiim, conseguímos!, agora vamos velejar pra casa antes que os nativos percebam o que os atingiu..."
delegate/CampaignMapForm,native_campaign_completed,"Yeah! That will teach those stupid Vikings not to mess with us. Now we head back south, and forget this pointless feud ever happened.",Ja! Så kan de dumme vikinger lære ikke at lægge sig ud med os. Nu tager vi tilbage sydpå og glemmer denne meningsløse krig.,"Jawohl! Diese dämlichen Wikinger werden sich nicht mehr so schnell mit uns anlegen. Am besten, wir ziehen wieder in den Süden zurück und vergessen diese sinnlose Fehde ein für alle Mal.",¡Sí! Eso les enseñará a esos estúpidos vikingos a no meterse con nosotros. Ahora dirijámonos al sur y olvidemos que esta  inútil rencilla tuvo lugar.,Oh si! Questo insegnerà a quegli stupidi Vichinghi a non mettersi contro di noi! Adesso torniamo a sud e dimentichiamo questa scaramuccia senza importanza.,"Sim! isso vai ensinar esses vikings estúpidos a não mexer conosco. Agora vamos voltar ao sul, e esquecer que essa disputa inútil tenha acontecido."
delegate/CampaignMapForm,native_campaign_opened_header,Native campaign,De indfødtes felttog,Eingeborenenfeldzug,Campaña indígena.,Campagna Nativi,Campanha indígena.
delegate/CampaignMapForm,native_campaign_opened,The native campaign is now accessible.,De indfødtes felttog er nu tilgængelig.,Der Eingeborenenfeldzug ist nun verfügbar.,La campaña indígena ahora es accesible.,La Campagna Nativi è ora disponibile.,A campanha indígena agora está disponível.
delegate/CountdownDelegate,waiting,Waiting for players...,Venter på spillere...,Spieler werden erwartet...,Esperando a los jugadores...,In attesa dei giocatori...,Esperando por jogadores...
delegate/CountdownDelegate,fight,Fight!,Kæmpe!,Kämpfen!,¡Luchar!,Combattimento!,Lutem!
delegate/GameStatsDelegate,units_lost,Units lost,Enheder mistet,Verlorene Einheiten,Unidades perdidas,Unità perse,Unidades perdidas
delegate/GameStatsDelegate,units_killed,Units killed,Enheder dræbt,Getötete Einheiten,Unidades asesinadas,Unità uccise,Unidades mortas
delegate/GameStatsDelegate,buildings_lost,Buildings lost,Bygninger mistet,Verlorene Gebäude,Edificios perdidos,Edifici persi,Edifícios perdidos
delegate/GameStatsDelegate,buildings_wrecked,Buildings wrecked,Bygninger smadret,Zerstörte Gebäude,Edificios derribados,Edifici distrutti,Edifícios arrebentados
delegate/GameStatsDelegate,tree_resources,Wood resources,Træressourcer,Holzressourcen,Recursos de madera,Risorse di legno,Recursos de madeira
delegate/GameStatsDelegate,rock_resources,Rock resources,Stenressourcer,Steinressourcen,Recursos de piedra,Risorse di roccia,Recursos de pedra
delegate/GameStatsDelegate,iron_resources,Iron resources,Jernressourcer,Eisenressourcen,Recursos de hierro,Risorse di ferro,Recursos de ferro
delegate/GameStatsDelegate,chicken_resources,Chicken resources,Kyllingeressourcer,Hühnchenressourcen,Recursos de pollo,Risorse di pollo,Recursos de galinha
delegate/GameStatsDelegate,meters_walked,Meters walked,Meter gået,Zurückgelegte Meter,Metros recorridos,Metri percorsi,Metros caminhados
delegate/GameStatsDelegate,weapons_thrown,Weapons thrown,Våben kastet,Geworfene Waffen,Armas arrojadas,Armi scagliate,Armas arremessadas
delegate/GameStatsDelegate,magics_used,Magics used,Specialangreb,Eingesetzte magische Strategien,Magias usadas,Magie usate,Magias usadas
delegate/GameStatsDelegate,total,Total score,Total score,Gesamtpunktzahl,Puntuación total,Punteggio totale,Pontuação total
delegate/GameStatsDelegate,observer_mode,Observer mode,Tilskuer,Beobachtermodus,Modo de observación,Modo osservatore,Modo observador
delegate/GameStatsDelegate,main_menu,Main menu,Hovedmenu,Hauptmenü,Menú principal,Menu principale,Menu principal
delegate/GameStatsDelegate,replay_island,Replay island,Genspil ø,Insel erneut spielen,Volver a jugar la isla,Rigioca isola,Repetir ilha
